PWM_Strength,Voltage,Weight1(g)
0.0,12.04,-2.76
1.0,12.04,-2.86
2.0,12.06,-3.06
3.0,12.04,-3.22
4.0,12.04,-3.32
5.0,12.06,-3.4
6.0,12.06,-3.62
7.0,12.06,-4.54
8.0,12.06,-4.86
9.0,12.04,-5.8
10.0,12.04,-8.62
11.0,12.06,-12.43
12.0,12.06,-11.39
13.0,12.02,-11.64
14.0,12.04,-13.31
15.0,12.02,-15.05
16.0,12.02,-17.02
17.0,12.0,-18.95
18.0,12.0,-21.11
19.0,12.0,-23.41
20.0,12.0,-25.8
21.0,11.93,-28.68
22.0,11.98,-30.69
23.0,12.04,-33.43
24.0,12.08,-40.68
25.0,11.95,-43.11
26.0,12.1,-41.93
27.0,11.93,-45.03
28.0,12.0,-48.67
29.0,11.81,-52.31
30.0,11.98,-55.8
31.0,12.1,-59.05
32.0,12.14,-62.82
33.0,11.75,-66.5
34.0,11.89,-70.07
35.0,11.95,-73.62
36.0,11.79,-77.57
37.0,11.63,-82.48
38.0,12.14,-91.13
39.0,11.79,-92.67
40.0,11.65,-94.09
41.0,11.81,-98.21
42.0,12.2,-102.23
43.0,12.3,-106.19
44.0,11.98,-110.81
45.0,12.14,-115.61
46.0,12.28,-119.71
47.0,11.79,-123.79
48.0,11.65,-127.92
49.0,11.53,-133.46
50.0,12.08,-138.77
51.0,12.2,-147.72
52.0,11.4,-148.55
53.0,11.36,-151.48
54.0,11.36,-155.7
55.0,11.57,-160.6
56.0,11.96,-165.23
57.0,11.93,-170.72
58.0,12.12,-176.06
59.0,11.22,-179.95
60.0,11.81,-185.66
61.0,12.0,-191.72
62.0,12.28,-194.9
63.0,11.95,-200.1
64.0,12.1,-213.08
65.0,12.1,-212.45
66.0,11.09,-215.85
67.0,11.05,-220.71
68.0,12.38,-224.78
69.0,11.98,-229.21
70.0,12.39,-236.32
71.0,11.05,-240.25
72.0,11.18,-244.51
73.0,12.39,-249.85
74.0,12.28,-255.6
75.0,12.0,-259.28
76.0,11.18,-267.7
77.0,11.52,-268.98
78.0,12.39,-273.34
79.0,11.81,-278.71
80.0,11.34,-284.1
81.0,10.71,-289.84
82.0,10.42,-292.89
83.0,12.47,-296.76
84.0,11.32,-304.56
85.0,11.89,-309.25
86.0,11.95,-311.97
87.0,12.26,-315.57
88.0,10.34,-325.31
89.0,12.34,-322.83
90.0,10.91,-327.87
91.0,9.95,-332.3
92.0,11.73,-336.19
93.0,11.81,-340.6
94.0,12.45,-343.63
95.0,11.79,-349.32
96.0,10.56,-354.01
97.0,12.81,-358.22
98.0,11.83,-362.83
99.0,10.89,-377.18
100.0,10.07,-368.8
101.0,10.24,-372.13
102.0,10.21,-375.16
103.0,12.69,-379.26
104.0,12.41,-382.92
105.0,12.45,-386.36
106.0,9.87,-388.44
107.0,10.13,-393.11
108.0,10.89,-396.0
109.0,12.49,-407.3
110.0,11.05,-405.93
111.0,12.32,-408.73
112.0,11.46,-410.21
113.0,12.22,-411.96
114.0,11.83,-414.85
115.0,10.22,-419.04
116.0,12.22,-423.37
117.0,13.65,-425.28
118.0,10.28,-427.97
119.0,9.56,-439.56
0.0,12.32,-435.36
1.0,12.04,-165.86
