PWM_Strength,Voltage,Weight1(g)
0.0,6.0,-0.46
1.0,5.98,-0.41
2.0,5.98,-0.39
3.0,5.98,-0.37
4.0,6.0,-0.42
5.0,5.98,-0.37
6.0,5.98,-0.52
7.0,6.0,-0.52
8.0,5.98,-0.51
9.0,5.98,-0.71
10.0,5.98,-0.94
11.0,6.0,-1.25
12.0,5.98,-1.67
13.0,5.98,-2.0
14.0,5.98,-2.46
15.0,5.98,-2.99
16.0,5.98,-3.47
17.0,5.98,-4.06
18.0,5.98,-5.56
19.0,5.98,-7.82
20.0,5.96,-7.05
21.0,6.0,-6.76
22.0,5.96,-7.41
23.0,5.98,-8.24
24.0,5.96,-8.82
25.0,6.0,-9.61
26.0,5.98,-10.5
27.0,5.98,-11.55
28.0,5.96,-12.47
29.0,5.98,-13.24
30.0,6.0,-14.17
31.0,5.98,-15.06
32.0,5.94,-15.91
33.0,5.94,-17.01
34.0,6.0,-18.01
35.0,5.98,-19.27
36.0,5.94,-20.39
37.0,5.96,-21.66
38.0,5.94,-22.98
39.0,5.98,-27.55
40.0,5.96,-27.37
41.0,5.92,-27.01
42.0,5.98,-28.17
43.0,5.98,-29.51
44.0,5.9,-30.46
45.0,5.88,-32.0
46.0,5.92,-33.61
47.0,5.88,-35.27
48.0,5.96,-37.2
49.0,5.94,-38.18
50.0,5.88,-39.72
51.0,5.87,-41.21
52.0,5.96,-42.85
53.0,5.88,-44.43
54.0,5.85,-49.72
55.0,5.98,-47.88
56.0,6.0,-49.45
57.0,5.85,-51.33
58.0,5.79,-52.8
59.0,5.81,-54.97
60.0,5.83,-56.48
61.0,5.96,-58.38
62.0,5.77,-59.95
63.0,5.88,-62.25
64.0,6.0,-64.55
65.0,5.94,-66.05
66.0,5.77,-67.21
67.0,5.71,-72.36
68.0,5.87,-72.15
69.0,5.94,-72.88
70.0,5.94,-74.39
71.0,5.94,-76.87
72.0,5.88,-78.57
73.0,5.75,-80.19
74.0,5.77,-81.99
75.0,6.0,-83.84
76.0,5.75,-85.95
77.0,5.65,-87.78
78.0,5.75,-90.06
79.0,5.69,-91.8
80.0,5.79,-93.92
81.0,5.69,-96.23
82.0,5.77,-98.76
83.0,5.75,-105.56
84.0,5.92,-103.2
85.0,5.79,-104.97
86.0,5.67,-106.69
87.0,5.85,-108.86
88.0,5.83,-111.26
89.0,5.94,-112.96
90.0,5.77,-114.87
91.0,5.75,-116.35
92.0,5.55,-118.03
93.0,5.79,-119.88
94.0,5.9,-122.13
95.0,5.9,-123.49
96.0,5.9,-128.96
97.0,5.81,-129.23
98.0,6.1,-130.63
99.0,5.47,-132.07
100.0,5.45,-134.38
101.0,5.85,-137.49
102.0,5.75,-139.61
103.0,5.65,-141.42
104.0,5.45,-143.27
105.0,5.42,-145.24
106.0,5.36,-148.08
107.0,5.87,-152.12
108.0,5.67,-153.77
109.0,5.57,-153.68
110.0,5.43,-156.03
111.0,5.43,-157.86
112.0,5.85,-161.19
113.0,5.53,-162.93
114.0,5.61,-165.61
115.0,5.55,-166.61
116.0,5.81,-169.54
117.0,5.47,-172.02
118.0,5.53,-173.97
119.0,5.45,-179.97
0.0,5.71,-178.66
1.0,5.98,-66.33
2.0,6.0,1.38
