PWM_Strength,Voltage,Weight1(g)
0.0,6.0,-1.87
1.0,6.0,-1.88
2.0,6.0,-1.96
3.0,6.0,-2.03
4.0,6.0,-2.11
5.0,6.0,-2.21
6.0,6.0,-2.43
7.0,6.0,-2.57
8.0,6.0,-2.73
9.0,5.98,-3.08
10.0,5.98,-3.54
11.0,6.0,-3.96
12.0,6.0,-4.46
13.0,6.0,-4.93
14.0,6.0,-5.53
15.0,6.0,-6.09
16.0,6.0,-6.71
17.0,6.0,-7.38
18.0,5.98,-9.0
19.0,6.0,-11.12
20.0,6.0,-10.76
21.0,5.98,-10.52
22.0,5.96,-11.25
23.0,5.98,-12.15
24.0,6.0,-12.89
25.0,5.96,-13.64
26.0,5.96,-14.64
27.0,5.98,-15.63
28.0,5.98,-16.75
29.0,5.98,-17.57
30.0,5.96,-18.51
31.0,6.0,-19.58
32.0,5.94,-20.65
33.0,6.0,-21.65
34.0,5.96,-22.9
35.0,5.98,-23.78
36.0,5.94,-25.14
37.0,5.94,-26.39
38.0,5.96,-31.28
39.0,5.92,-30.87
40.0,6.0,-29.82
41.0,5.94,-31.12
42.0,5.88,-32.46
43.0,6.02,-33.76
44.0,6.02,-35.17
45.0,6.0,-36.66
46.0,6.02,-38.14
47.0,5.98,-39.31
48.0,5.85,-40.56
49.0,6.02,-42.46
50.0,5.96,-44.31
51.0,5.94,-45.61
52.0,5.94,-47.4
53.0,5.88,-49.2
54.0,6.02,-50.89
55.0,5.87,-53.0
56.0,6.0,-57.49
57.0,5.96,-58.84
58.0,5.9,-57.64
59.0,5.88,-59.15
60.0,5.92,-60.46
61.0,5.92,-62.32
62.0,5.87,-64.3
63.0,6.0,-66.27
64.0,5.94,-68.62
65.0,5.79,-69.9
66.0,6.0,-71.37
67.0,6.04,-73.1
68.0,5.81,-74.79
69.0,5.94,-76.3
70.0,5.98,-78.14
71.0,6.02,-80.12
72.0,5.83,-82.02
73.0,5.92,-84.16
74.0,6.0,-91.06
75.0,6.04,-89.36
76.0,5.98,-89.61
77.0,5.98,-91.49
78.0,5.71,-93.47
79.0,5.92,-95.67
80.0,6.04,-98.69
81.0,6.04,-100.19
82.0,5.67,-102.64
83.0,5.67,-104.37
84.0,6.02,-106.07
85.0,5.94,-108.79
86.0,5.92,-109.92
87.0,5.81,-111.69
88.0,5.77,-112.82
89.0,5.61,-115.49
90.0,5.92,-121.36
91.0,5.98,-123.64
92.0,5.75,-122.24
93.0,5.75,-124.56
94.0,5.9,-126.34
95.0,5.92,-128.15
96.0,5.96,-129.87
97.0,5.65,-132.31
98.0,5.65,-134.62
99.0,5.96,-137.41
100.0,5.73,-139.98
101.0,5.59,-141.2
102.0,6.0,-143.32
103.0,5.73,-145.85
104.0,5.85,-147.69
105.0,5.79,-152.6
106.0,5.88,-153.28
107.0,5.47,-154.06
108.0,5.94,-156.21
109.0,5.38,-159.4
110.0,5.36,-161.51
111.0,5.9,-164.49
112.0,5.65,-166.52
113.0,5.32,-167.66
114.0,5.45,-169.1
115.0,5.61,-171.59
116.0,5.67,-173.6
117.0,5.51,-176.43
118.0,5.59,-179.15
119.0,5.83,-179.87
0.0,6.06,-185.54
1.0,6.0,-73.23
2.0,5.98,-6.01
