PWM_Strength,Voltage,Weight1(g)
0.0,10.05,-1.3
1.0,10.05,-1.38
2.0,10.05,-1.44
3.0,10.05,-1.58
4.0,10.05,-1.6
5.0,10.05,-1.69
6.0,10.05,-2.19
7.0,10.05,-2.35
8.0,10.03,-2.59
9.0,10.05,-3.1
10.0,10.05,-4.02
11.0,10.07,-4.95
12.0,10.03,-6.09
13.0,10.03,-7.17
14.0,10.03,-8.45
15.0,10.01,-9.92
16.0,10.05,-11.35
17.0,10.05,-15.88
18.0,10.05,-20.87
19.0,10.03,-19.97
20.0,10.07,-18.27
21.0,10.05,-19.86
22.0,10.05,-21.29
23.0,10.09,-22.96
24.0,9.99,-25.15
25.0,10.01,-27.47
26.0,10.01,-29.4
27.0,10.07,-31.79
28.0,9.89,-34.26
29.0,10.05,-36.73
30.0,10.03,-38.84
31.0,10.01,-41.93
32.0,9.99,-44.76
33.0,10.07,-47.15
34.0,9.91,-50.18
35.0,10.01,-53.32
36.0,10.01,-56.57
37.0,9.89,-59.95
38.0,10.11,-62.71
39.0,9.97,-71.27
40.0,10.01,-76.03
41.0,10.13,-75.6
42.0,9.78,-75.97
43.0,9.99,-78.08
44.0,9.7,-81.57
45.0,9.83,-84.75
46.0,9.87,-88.8
47.0,9.83,-91.4
48.0,9.99,-95.17
49.0,10.19,-98.91
50.0,9.64,-102.39
51.0,9.89,-105.46
52.0,10.13,-109.28
53.0,10.21,-112.6
54.0,9.48,-116.03
55.0,9.54,-120.44
56.0,9.74,-124.56
57.0,9.48,-128.53
58.0,9.42,-131.27
59.0,9.93,-134.8
60.0,10.22,-138.99
61.0,9.6,-143.24
62.0,9.48,-147.69
63.0,10.03,-150.88
64.0,9.89,-158.93
65.0,10.03,-160.93
66.0,9.5,-162.24
67.0,10.3,-165.27
68.0,9.44,-169.38
69.0,9.29,-171.9
70.0,10.36,-177.38
71.0,9.87,-180.51
72.0,9.58,-185.77
73.0,10.15,-189.66
74.0,9.52,-193.4
75.0,10.28,-198.95
76.0,9.99,-202.87
77.0,9.31,-205.93
78.0,10.21,-215.16
79.0,10.22,-217.29
80.0,9.72,-218.07
81.0,10.09,-224.06
82.0,10.56,-229.53
83.0,10.01,-235.77
84.0,10.24,-237.97
85.0,10.19,-241.37
86.0,9.74,-244.59
87.0,10.01,-251.22
88.0,9.7,-252.82
89.0,9.52,-259.94
90.0,10.44,-269.5
91.0,10.13,-267.0
92.0,9.95,-271.04
93.0,9.46,-275.37
94.0,9.91,-278.11
95.0,9.11,-281.09
96.0,8.72,-283.25
97.0,8.76,-288.12
98.0,9.23,-292.14
99.0,10.28,-296.19
100.0,9.46,-298.87
101.0,9.76,-302.89
102.0,8.56,-308.64
103.0,9.95,-308.24
104.0,9.07,-313.18
105.0,9.6,-314.66
106.0,10.07,-317.65
107.0,10.05,-321.14
108.0,9.64,-325.79
109.0,9.23,-330.76
110.0,9.93,-331.54
111.0,9.29,-335.17
112.0,9.17,-337.93
113.0,9.91,-342.52
114.0,9.68,-349.29
115.0,9.05,-346.05
116.0,9.54,-348.32
117.0,9.89,-352.83
118.0,10.07,-356.14
119.0,9.54,-358.39
0.0,8.66,-360.35
1.0,10.03,-135.83
