PWM_Strength,Voltage,Weight1(g)
0.0,10.09,-2.78
1.0,10.09,-2.83
2.0,10.09,-3.03
3.0,10.09,-3.51
4.0,10.09,-3.85
5.0,10.09,-4.21
6.0,10.07,-4.85
7.0,10.09,-5.53
8.0,10.09,-6.37
9.0,10.11,-7.44
10.0,10.11,-8.69
11.0,10.11,-10.1
12.0,10.07,-13.09
13.0,10.05,-12.75
14.0,9.99,-14.03
15.0,10.03,-15.58
16.0,10.11,-17.12
17.0,10.05,-18.65
18.0,10.07,-20.45
19.0,10.07,-22.43
20.0,10.13,-24.15
21.0,10.13,-26.09
22.0,9.95,-27.97
23.0,10.15,-30.17
24.0,9.99,-31.99
25.0,9.99,-34.21
26.0,10.17,-36.61
27.0,10.09,-43.31
28.0,10.19,-41.67
29.0,10.19,-43.83
30.0,10.13,-46.09
31.0,9.79,-48.44
32.0,10.13,-51.02
33.0,10.11,-53.7
34.0,10.07,-56.52
35.0,9.83,-59.26
36.0,9.78,-62.36
37.0,10.07,-65.5
38.0,9.97,-68.09
39.0,9.66,-70.75
40.0,10.05,-77.87
41.0,9.78,-77.22
42.0,10.21,-78.99
43.0,10.3,-82.46
44.0,9.48,-85.56
45.0,10.42,-88.86
46.0,10.21,-92.4
47.0,9.72,-95.6
48.0,9.54,-99.07
49.0,10.22,-102.02
50.0,9.42,-105.72
51.0,10.48,-108.77
52.0,9.11,-114.19
53.0,9.72,-119.86
54.0,9.27,-118.72
55.0,9.38,-122.33
56.0,9.5,-125.26
57.0,10.6,-129.38
58.0,10.4,-133.06
59.0,10.34,-136.75
60.0,10.6,-140.4
61.0,10.62,-143.97
62.0,9.52,-147.24
63.0,9.52,-150.71
64.0,10.75,-154.96
65.0,9.83,-161.69
66.0,9.52,-162.12
67.0,10.46,-166.0
68.0,10.62,-169.21
69.0,8.76,-172.51
70.0,10.21,-176.66
71.0,10.77,-180.37
72.0,10.54,-184.14
73.0,10.83,-188.41
74.0,10.58,-191.97
75.0,9.91,-195.36
76.0,9.83,-201.15
77.0,10.99,-210.53
78.0,10.75,-207.22
79.0,8.78,-211.97
80.0,10.56,-214.52
81.0,10.05,-218.03
82.0,10.5,-221.34
83.0,8.39,-225.96
84.0,9.38,-229.86
85.0,10.79,-233.3
86.0,9.05,-238.42
87.0,10.34,-242.68
88.0,10.77,-252.34
89.0,11.22,-250.12
90.0,9.13,-252.56
91.0,8.31,-257.05
92.0,8.64,-261.53
93.0,8.45,-265.43
94.0,8.29,-269.06
95.0,8.84,-271.72
96.0,8.43,-274.54
97.0,9.91,-279.89
98.0,9.48,-283.36
99.0,7.8,-293.8
100.0,11.42,-292.06
101.0,7.94,-295.86
102.0,8.82,-299.12
103.0,7.84,-302.83
104.0,8.31,-306.24
105.0,10.93,-308.69
106.0,7.92,-312.73
107.0,10.38,-315.08
108.0,10.01,-319.65
109.0,9.58,-330.73
110.0,9.38,-327.97
111.0,8.15,-330.58
112.0,8.07,-333.07
113.0,8.72,-336.02
114.0,9.83,-338.79
115.0,11.22,-342.57
116.0,8.56,-345.17
117.0,9.93,-349.26
118.0,11.03,-352.85
119.0,9.5,-359.83
0.0,11.91,-359.49
1.0,10.05,-98.99
2.0,10.21,5.19
3.0,10.13,5.31
