PWM_Strength,Voltage,Weight1(g)
0.0,11.07,-1.02
20.0,11.07,-1.04
40.0,11.09,-24.43
60.0,10.71,-80.47
80.0,11.73,-154.18
100.0,11.03,-231.58
120.0,9.58,-300.96
0.0,11.87,-363.14
20.0,0.0,14.86
