PWM_Strength,Voltage,Weight1(g)
0.0,11.07,-0.46
20.0,11.05,0.52
40.0,11.07,-16.55
60.0,11.12,-69.31
80.0,10.85,-140.8
100.0,10.91,-227.82
120.0,11.16,-290.58
0.0,11.1,-350.29
