PWM_Strength,Voltage,Weight1(g)
0.0,8.02,-2.22
1.0,8.04,-2.36
2.0,8.02,-2.47
3.0,8.02,-2.61
4.0,8.02,-2.75
5.0,8.02,-2.85
6.0,8.02,-3.03
7.0,8.02,-3.52
8.0,8.02,-3.91
9.0,8.02,-4.44
10.0,8.02,-5.25
11.0,8.02,-5.92
12.0,8.02,-6.79
13.0,8.02,-7.7
14.0,8.02,-8.72
15.0,8.02,-9.64
16.0,8.02,-10.76
17.0,8.04,-11.94
18.0,8.0,-12.99
19.0,8.02,-14.32
20.0,8.0,-15.38
21.0,8.0,-16.73
22.0,7.98,-18.14
23.0,7.98,-19.55
24.0,8.02,-20.76
25.0,8.0,-22.24
26.0,8.04,-23.79
27.0,7.98,-25.19
28.0,8.04,-26.69
29.0,7.98,-28.3
30.0,8.0,-29.93
31.0,8.04,-31.54
32.0,8.07,-33.84
33.0,7.92,-35.38
34.0,7.96,-37.02
35.0,8.07,-38.8
36.0,7.9,-41.12
37.0,7.92,-43.3
38.0,7.88,-45.51
39.0,8.0,-48.03
40.0,7.9,-50.16
41.0,7.88,-52.55
42.0,8.05,-54.58
43.0,7.98,-57.06
44.0,7.86,-59.61
45.0,8.07,-65.75
46.0,8.11,-67.06
47.0,8.11,-66.84
48.0,7.82,-69.31
49.0,7.88,-71.13
50.0,7.84,-73.71
51.0,7.88,-76.56
52.0,7.76,-79.09
53.0,7.98,-81.4
54.0,8.07,-83.96
55.0,7.82,-86.69
56.0,7.8,-89.78
57.0,8.09,-92.06
58.0,7.78,-94.86
59.0,8.07,-97.69
60.0,8.13,-100.19
61.0,8.09,-102.59
62.0,8.07,-105.1
63.0,8.0,-108.31
64.0,7.8,-115.32
65.0,7.86,-117.7
66.0,7.92,-117.16
67.0,8.07,-119.34
68.0,7.78,-122.41
69.0,7.64,-125.08
70.0,8.09,-128.15
71.0,7.55,-130.72
72.0,7.53,-133.0
73.0,7.86,-136.33
74.0,8.0,-139.4
75.0,8.11,-142.74
76.0,7.76,-145.57
77.0,7.74,-148.67
78.0,8.07,-150.99
79.0,8.11,-154.27
80.0,7.94,-157.16
81.0,7.59,-163.92
82.0,8.13,-167.79
83.0,8.19,-166.07
84.0,8.0,-169.13
85.0,7.33,-171.64
86.0,7.88,-173.12
87.0,7.82,-176.62
88.0,8.19,-181.52
89.0,8.04,-184.82
90.0,7.31,-188.17
91.0,7.82,-193.15
92.0,7.84,-196.14
93.0,7.35,-198.84
94.0,7.72,-201.69
95.0,7.27,-206.12
96.0,7.12,-210.3
97.0,7.23,-212.9
98.0,8.13,-216.3
99.0,7.51,-222.56
100.0,7.55,-224.19
101.0,7.68,-224.97
102.0,7.21,-229.23
103.0,7.8,-230.23
104.0,7.57,-233.31
105.0,7.35,-235.17
106.0,8.04,-236.99
107.0,7.23,-240.51
108.0,7.19,-243.97
109.0,7.78,-247.08
110.0,7.04,-249.68
111.0,6.96,-253.25
112.0,7.98,-254.49
113.0,7.92,-256.86
114.0,7.02,-259.08
115.0,7.59,-263.13
116.0,7.25,-270.19
117.0,7.16,-267.75
118.0,7.1,-269.84
119.0,7.78,-273.32
0.0,7.31,-277.85
1.0,8.02,-112.71
