PWM_Strength,Voltage,Weight1(g)
0.0,12.04,-0.54
1.0,12.04,-0.55
2.0,12.04,-0.51
3.0,12.04,-0.51
4.0,12.06,-0.48
5.0,12.04,-0.5
6.0,12.02,-0.68
7.0,12.06,-1.46
8.0,12.04,-2.16
9.0,12.04,-3.17
10.0,12.06,-4.35
11.0,12.02,-5.44
12.0,11.98,-6.84
13.0,12.04,-8.37
14.0,12.08,-9.96
15.0,12.04,-11.33
16.0,12.06,-13.09
17.0,12.02,-15.11
18.0,12.02,-17.02
19.0,12.08,-19.49
20.0,11.96,-21.38
21.0,12.06,-26.09
22.0,11.96,-32.99
23.0,11.98,-37.0
24.0,12.12,-35.75
25.0,12.02,-34.57
26.0,12.06,-36.55
27.0,12.1,-39.91
28.0,12.14,-43.2
29.0,11.98,-45.87
30.0,11.85,-48.71
31.0,12.0,-52.55
32.0,12.02,-56.54
33.0,11.85,-59.62
34.0,12.16,-63.21
35.0,11.91,-67.07
36.0,11.89,-71.39
37.0,11.87,-75.78
38.0,11.77,-78.86
39.0,11.81,-82.29
40.0,11.77,-86.51
41.0,12.16,-91.13
42.0,11.87,-94.86
43.0,12.26,-104.45
44.0,11.61,-109.29
45.0,11.65,-110.0
46.0,12.28,-112.08
47.0,12.63,-115.42
48.0,11.91,-120.47
49.0,12.34,-124.8
50.0,11.91,-128.81
51.0,11.83,-132.89
52.0,11.91,-137.13
53.0,11.89,-143.05
54.0,11.42,-147.0
55.0,12.43,-152.08
56.0,11.55,-156.98
57.0,11.87,-161.64
58.0,11.1,-173.88
59.0,11.85,-172.15
60.0,11.22,-175.85
61.0,12.24,-180.34
62.0,13.02,-185.14
63.0,11.87,-189.67
64.0,12.14,-193.74
65.0,11.57,-198.26
66.0,12.49,-203.48
67.0,12.02,-207.62
68.0,11.83,-211.62
69.0,11.79,-220.74
70.0,12.16,-221.88
71.0,11.81,-227.05
72.0,12.61,-233.08
73.0,11.34,-238.94
74.0,11.12,-244.49
75.0,12.69,-250.44
76.0,11.28,-253.29
77.0,12.24,-259.22
78.0,11.87,-269.52
79.0,11.34,-269.81
80.0,11.07,-273.43
81.0,12.02,-278.59
82.0,12.38,-283.69
83.0,12.65,-288.22
84.0,12.34,-294.08
85.0,11.34,-297.42
86.0,10.5,-300.98
87.0,10.97,-306.21
88.0,11.44,-320.48
89.0,10.85,-314.6
90.0,10.54,-319.62
91.0,11.71,-324.65
92.0,11.89,-328.06
93.0,11.71,-331.45
94.0,11.87,-335.91
95.0,11.89,-340.89
96.0,10.15,-343.81
97.0,11.87,-354.8
98.0,12.69,-352.47
99.0,10.62,-355.6
100.0,11.83,-359.49
101.0,10.71,-360.74
102.0,11.14,-364.97
103.0,11.16,-371.38
104.0,10.56,-374.52
105.0,9.91,-378.11
106.0,11.69,-382.06
107.0,10.64,-390.51
108.0,10.83,-389.76
109.0,12.63,-392.72
110.0,12.32,-395.75
111.0,12.0,-399.66
112.0,11.63,-402.22
113.0,9.95,-407.47
114.0,11.75,-410.57
115.0,9.79,-415.62
116.0,12.28,-415.79
117.0,11.28,-419.55
118.0,11.87,-423.3
119.0,9.7,-425.77
0.0,12.1,-429.6
1.0,12.04,-153.56
