PWM_Strength,Voltage,Weight1(g)
0.0,8.02,-1.24
1.0,8.02,-1.22
2.0,8.02,-1.3
3.0,8.02,-1.37
4.0,8.02,-1.36
5.0,8.02,-1.41
6.0,8.02,-1.69
7.0,8.02,-1.68
8.0,8.02,-1.89
9.0,8.02,-2.22
10.0,8.02,-2.66
11.0,8.02,-3.24
12.0,8.02,-4.06
13.0,8.02,-4.75
14.0,8.0,-5.53
15.0,8.02,-6.4
16.0,8.0,-7.39
17.0,8.02,-8.42
18.0,8.0,-14.1
19.0,7.98,-14.39
20.0,8.02,-12.17
21.0,7.98,-12.89
22.0,7.96,-14.15
23.0,7.98,-15.43
24.0,8.02,-16.84
25.0,8.0,-18.16
26.0,8.0,-19.51
27.0,8.0,-21.12
28.0,7.96,-22.82
29.0,7.98,-24.18
30.0,7.94,-25.48
31.0,8.0,-27.64
32.0,8.0,-29.67
33.0,7.94,-31.45
34.0,7.92,-33.14
35.0,7.98,-34.99
36.0,8.04,-37.03
37.0,8.02,-39.49
38.0,7.94,-41.22
39.0,7.88,-43.4
40.0,8.04,-45.51
41.0,7.9,-53.11
42.0,7.8,-54.93
43.0,8.0,-53.66
44.0,8.05,-55.31
45.0,7.9,-57.57
46.0,8.0,-60.06
47.0,8.02,-62.73
48.0,7.96,-64.88
49.0,7.76,-67.64
50.0,7.98,-69.61
51.0,8.07,-72.04
52.0,7.84,-74.89
53.0,7.94,-77.02
54.0,7.86,-78.95
55.0,7.86,-81.61
56.0,7.98,-84.55
57.0,7.8,-87.36
58.0,7.72,-89.49
59.0,7.84,-91.96
60.0,7.66,-95.22
61.0,8.05,-98.02
62.0,8.04,-100.92
63.0,7.96,-103.98
64.0,7.98,-106.68
65.0,7.64,-109.41
66.0,7.49,-112.57
67.0,7.98,-115.42
68.0,7.59,-117.88
69.0,8.13,-120.46
70.0,7.98,-129.26
71.0,7.62,-130.78
72.0,7.8,-132.83
73.0,7.64,-133.87
74.0,7.98,-136.4
75.0,7.74,-139.42
76.0,7.9,-141.07
77.0,8.09,-144.16
78.0,8.02,-146.93
79.0,7.33,-149.57
80.0,7.49,-152.85
81.0,7.82,-156.82
82.0,7.33,-159.86
83.0,7.49,-162.38
84.0,7.31,-166.41
85.0,7.25,-168.07
86.0,7.64,-172.02
87.0,7.94,-174.7
88.0,7.41,-178.83
89.0,7.57,-182.72
90.0,8.07,-185.71
91.0,7.47,-189.19
92.0,8.05,-191.78
93.0,7.49,-194.75
94.0,7.33,-197.45
95.0,7.06,-201.95
96.0,7.82,-204.56
97.0,7.14,-207.72
98.0,7.16,-214.75
99.0,7.98,-218.65
100.0,7.59,-219.42
101.0,7.17,-220.97
102.0,7.19,-224.52
103.0,7.49,-226.19
104.0,7.66,-229.6
105.0,7.43,-232.68
106.0,7.43,-234.52
107.0,7.33,-238.46
108.0,7.98,-241.49
109.0,7.31,-243.76
110.0,7.49,-245.77
111.0,7.02,-247.96
112.0,7.88,-251.26
113.0,7.76,-253.83
114.0,6.92,-255.32
115.0,7.57,-258.69
116.0,7.94,-261.53
117.0,7.23,-268.01
118.0,7.27,-269.85
119.0,7.51,-269.07
0.0,7.74,-270.57
1.0,8.02,-105.09
2.0,8.02,-2.36
