PWM_Strength,Voltage,Weight1(g)
0.0,12.16,-2.0
1.0,12.16,-2.11
2.0,12.16,-2.16
3.0,12.14,-3.49
4.0,12.16,-3.15
5.0,12.16,-3.88
6.0,12.12,-4.61
7.0,12.14,-5.64
8.0,12.16,-8.05
9.0,12.1,-8.78
10.0,12.16,-9.94
11.0,12.18,-11.59
12.0,12.2,-13.18
13.0,12.16,-14.82
14.0,12.2,-16.89
15.0,12.04,-18.89
16.0,12.02,-21.13
17.0,12.0,-23.29
18.0,11.98,-25.94
19.0,12.2,-28.56
20.0,11.96,-30.97
21.0,12.02,-36.85
22.0,11.98,-38.63
23.0,11.98,-39.17
24.0,12.02,-42.12
25.0,12.2,-45.21
26.0,12.04,-48.33
27.0,12.08,-51.42
28.0,12.08,-55.2
29.0,12.04,-58.45
30.0,12.38,-61.91
31.0,12.28,-64.85
32.0,12.39,-68.41
33.0,12.26,-71.74
34.0,12.14,-75.05
35.0,12.34,-84.4
36.0,11.73,-84.93
37.0,12.3,-87.55
38.0,11.26,-91.33
39.0,12.45,-94.86
40.0,11.42,-98.43
41.0,12.61,-102.25
42.0,12.53,-106.89
43.0,12.65,-111.62
44.0,11.79,-114.85
45.0,12.47,-119.0
46.0,12.65,-124.01
47.0,12.45,-129.86
48.0,12.3,-136.79
49.0,12.69,-135.56
50.0,12.14,-140.19
51.0,12.2,-144.96
52.0,10.81,-149.15
53.0,10.56,-153.32
54.0,12.41,-157.4
55.0,12.22,-162.35
56.0,11.03,-165.86
57.0,12.61,-170.89
58.0,13.12,-174.93
59.0,11.67,-179.16
60.0,12.2,-188.58
61.0,13.22,-189.02
62.0,12.18,-192.75
63.0,13.1,-197.83
64.0,12.92,-202.82
65.0,11.55,-208.16
66.0,9.99,-212.03
67.0,12.16,-216.05
68.0,12.34,-221.59
69.0,12.16,-225.78
70.0,9.85,-231.22
71.0,12.26,-244.99
72.0,13.61,-242.68
73.0,12.59,-246.18
74.0,11.38,-248.78
75.0,11.42,-252.29
76.0,10.69,-256.78
77.0,13.76,-261.9
78.0,13.29,-265.08
79.0,13.72,-269.84
80.0,12.75,-274.76
81.0,10.83,-281.34
82.0,13.92,-289.18
83.0,13.8,-288.67
84.0,9.85,-291.81
85.0,13.35,-296.29
86.0,13.29,-301.12
87.0,13.43,-304.79
88.0,9.21,-310.35
89.0,12.32,-313.12
90.0,9.21,-318.47
91.0,10.91,-323.83
92.0,10.99,-332.89
93.0,13.92,-332.86
94.0,11.55,-335.0
95.0,11.87,-340.91
96.0,9.21,-343.31
97.0,13.27,-347.49
98.0,12.84,-351.66
99.0,13.06,-355.78
100.0,11.28,-360.05
101.0,11.42,-366.57
102.0,14.53,-368.92
103.0,10.56,-373.0
104.0,10.89,-381.16
105.0,11.42,-380.18
106.0,11.59,-383.57
107.0,8.78,-386.53
108.0,12.51,-388.05
109.0,9.07,-394.37
110.0,8.91,-397.22
111.0,10.28,-402.17
112.0,10.36,-405.31
113.0,11.32,-409.24
114.0,11.28,-417.24
115.0,13.67,-425.64
116.0,12.69,-419.19
117.0,8.9,-422.44
118.0,12.43,-427.56
119.0,13.47,-428.97
0.0,14.74,-429.75
1.0,12.08,-103.37
2.0,12.08,10.4
3.0,12.1,9.96
