PWM_Strength,Voltage,Weight1(g)
0.0,8.07,-2.8
1.0,8.07,-2.94
2.0,8.07,-3.14
3.0,8.07,-3.55
4.0,8.05,-3.77
5.0,8.07,-4.08
6.0,8.05,-4.38
7.0,8.07,-4.78
8.0,8.07,-5.43
9.0,8.07,-6.19
10.0,8.07,-7.11
11.0,8.09,-8.03
12.0,8.05,-9.45
13.0,8.09,-10.78
14.0,8.07,-11.14
15.0,8.07,-12.2
16.0,8.09,-13.46
17.0,8.02,-14.57
18.0,8.02,-15.95
19.0,8.04,-17.22
20.0,8.09,-18.68
21.0,8.04,-20.08
22.0,8.07,-21.49
23.0,8.09,-22.94
24.0,8.05,-24.54
25.0,8.09,-26.2
26.0,8.09,-27.69
27.0,7.98,-33.4
28.0,8.09,-32.08
29.0,8.13,-32.76
30.0,8.07,-34.39
31.0,8.17,-36.14
32.0,7.94,-37.86
33.0,8.19,-39.68
34.0,7.92,-41.62
35.0,7.96,-43.43
36.0,7.86,-45.51
37.0,7.8,-47.82
38.0,8.17,-49.83
39.0,7.9,-51.75
40.0,8.11,-55.06
41.0,8.19,-60.56
42.0,7.82,-58.73
43.0,7.74,-60.75
44.0,7.84,-62.58
45.0,8.23,-64.79
46.0,8.15,-67.54
47.0,8.15,-70.24
48.0,8.17,-72.87
49.0,7.78,-75.09
50.0,7.64,-77.76
51.0,7.62,-80.14
52.0,7.82,-83.02
53.0,8.21,-84.82
54.0,8.31,-87.27
55.0,8.29,-90.33
56.0,8.13,-92.52
57.0,7.64,-95.3
58.0,7.84,-101.89
59.0,7.68,-103.82
60.0,8.02,-103.81
61.0,7.86,-106.06
62.0,8.39,-108.58
63.0,8.04,-111.04
64.0,7.45,-113.59
65.0,7.27,-116.35
66.0,8.02,-119.19
67.0,8.15,-121.62
68.0,7.9,-124.76
69.0,8.05,-127.62
70.0,8.29,-129.99
71.0,8.09,-132.77
72.0,7.96,-135.77
73.0,8.35,-137.9
74.0,8.21,-142.66
75.0,7.31,-147.42
76.0,8.27,-146.2
77.0,8.54,-149.5
78.0,8.52,-151.75
79.0,7.33,-155.14
80.0,8.7,-157.99
81.0,8.35,-161.84
82.0,7.02,-164.39
83.0,7.17,-167.43
84.0,7.33,-170.72
85.0,6.96,-174.64
86.0,7.0,-176.97
87.0,7.08,-179.91
88.0,8.05,-186.11
89.0,6.94,-190.06
90.0,8.58,-189.6
91.0,7.78,-191.32
92.0,8.66,-193.94
93.0,7.37,-197.3
94.0,8.27,-199.69
95.0,7.27,-203.68
96.0,7.84,-206.94
97.0,8.7,-209.49
98.0,6.98,-212.67
99.0,7.23,-215.88
100.0,7.14,-218.7
101.0,8.56,-221.49
102.0,8.33,-224.43
103.0,7.29,-234.12
104.0,7.57,-233.21
105.0,8.31,-232.83
106.0,7.17,-236.15
107.0,7.86,-238.31
108.0,8.66,-240.78
109.0,7.96,-244.75
110.0,7.17,-248.47
111.0,8.58,-251.45
112.0,8.04,-253.67
113.0,6.63,-256.15
114.0,6.69,-257.71
115.0,7.88,-262.37
116.0,7.7,-265.2
117.0,7.43,-274.82
118.0,7.21,-271.73
119.0,6.55,-273.01
0.0,10.26,-276.57
1.0,8.31,-78.49
2.0,8.05,-4.58
