PWM_Strength,Voltage,Weight1(g)
0.0,6.16,-1.9
1.0,6.16,-1.98
2.0,6.16,-2.09
3.0,6.14,-2.16
4.0,6.14,-2.26
5.0,6.14,-2.79
6.0,6.14,-2.66
7.0,6.12,-2.81
8.0,6.14,-3.13
9.0,6.14,-3.49
10.0,6.14,-3.98
11.0,6.12,-4.52
12.0,6.12,-5.09
13.0,6.14,-5.7
14.0,6.12,-6.39
15.0,6.1,-7.18
16.0,6.12,-7.95
17.0,6.12,-9.38
18.0,6.14,-9.73
19.0,6.14,-10.31
20.0,6.14,-11.04
21.0,6.12,-11.94
22.0,6.14,-12.76
23.0,6.14,-13.71
24.0,6.12,-14.59
25.0,6.08,-15.42
26.0,6.06,-16.43
27.0,6.14,-17.57
28.0,6.06,-18.66
29.0,6.14,-19.49
30.0,6.12,-20.45
31.0,6.06,-22.5
32.0,6.04,-23.74
33.0,6.12,-23.46
34.0,6.08,-24.49
35.0,6.1,-25.57
36.0,6.1,-26.75
37.0,6.06,-28.0
38.0,6.06,-29.23
39.0,5.92,-30.43
40.0,6.16,-31.57
41.0,6.1,-33.1
42.0,6.04,-34.24
43.0,5.98,-35.54
44.0,6.06,-36.87
45.0,5.96,-38.22
46.0,6.14,-39.6
47.0,5.94,-40.92
48.0,5.92,-42.45
49.0,6.2,-45.54
50.0,6.22,-48.14
51.0,5.94,-48.51
52.0,6.08,-48.65
53.0,6.16,-49.98
54.0,5.87,-51.53
55.0,6.2,-53.29
56.0,6.0,-55.08
57.0,5.96,-56.92
58.0,6.2,-58.81
59.0,6.2,-60.8
60.0,6.0,-62.63
61.0,5.83,-64.34
62.0,6.2,-65.7
63.0,6.28,-67.59
64.0,6.16,-69.23
65.0,5.88,-70.64
66.0,6.18,-72.84
67.0,5.92,-74.96
68.0,6.28,-76.83
69.0,5.94,-78.28
70.0,6.08,-80.09
71.0,6.12,-81.81
72.0,5.73,-84.4
73.0,5.9,-88.5
74.0,6.28,-88.02
75.0,6.04,-89.49
76.0,6.2,-90.89
77.0,6.08,-92.95
78.0,5.87,-94.6
79.0,6.22,-96.71
80.0,5.57,-98.54
81.0,6.14,-100.62
82.0,6.12,-103.15
83.0,6.28,-104.83
84.0,6.22,-106.65
85.0,5.65,-108.76
86.0,5.75,-111.13
87.0,5.73,-112.86
88.0,6.22,-115.0
89.0,6.06,-117.03
90.0,6.24,-121.56
91.0,5.77,-122.77
92.0,6.26,-122.8
93.0,5.87,-124.74
94.0,5.77,-126.97
95.0,5.83,-128.98
96.0,5.61,-130.77
97.0,5.38,-133.86
98.0,6.0,-135.4
99.0,6.28,-136.83
100.0,5.79,-138.78
101.0,6.28,-141.23
102.0,5.79,-143.68
103.0,5.71,-146.57
104.0,6.22,-148.52
105.0,6.26,-149.19
106.0,5.3,-151.11
107.0,6.14,-153.02
108.0,5.63,-154.68
109.0,6.26,-157.53
110.0,5.42,-160.01
111.0,5.69,-162.51
112.0,6.06,-163.96
113.0,5.98,-165.9
114.0,5.9,-167.19
115.0,6.24,-168.34
116.0,6.02,-172.11
117.0,6.14,-173.48
118.0,6.04,-174.28
119.0,5.34,-176.47
0.0,8.35,-178.46
1.0,6.59,-50.07
