pos,time
"[-1.2812558570264429e-05, 1.5081567365353799e-05, -0.01705428221802732, 0.0007453162515286228, -0.0007104161864456872, 0.0]",0.0
"[-3.0269350239629922e-05, 6.95830205842751e-05, -0.04929995063797536, 0.0023465670905058918, -0.0002871705457345734, 0.0]",0.01
"[-5.620709594553853e-05, 0.0001735243777495007, -0.09478138451208651, 0.003386653791630182, -0.0005965458920917232, 0.0]",0.02
"[-9.931044233639521e-05, 0.00033403330196669575, -0.15145033464671498, 0.00455773517166415, -0.0014106559034163884, 0.0]",0.03
"[-0.00016669962045099773, 0.0005424951042494997, -0.21704747324943569, 0.004748272229685929, -0.0024508347153663745, 0.0]",0.04
"[-0.0002599123698242108, 0.0007893718369015561, -0.28972299922459066, 0.004675513031391211, -0.0032041496074089867, 0.0]",0.05
"[-0.0003739410294598952, 0.0010614521297191864, -0.3673730078713444, 0.0041410326585905035, -0.003495237354066636, 0.0]",0.060000000000000005
"[-0.0005048116666019432, 0.0013508212099403987, -0.44803559192764625, 0.004238175473180327, -0.0042172429298186044, 0.0]",0.07
"[-0.0006459243048405868, 0.001647888590404708, -0.5301321349257502, 0.003096807603891225, -0.004241040919398582, 0.0]",0.08
"[-0.0007915325323188067, 0.0019471068123736231, -0.6122563172537286, 0.002041485331560259, -0.00445705351516865, 0.0]",0.09
"[-0.0009373336067968281, 0.002246403888130085, -0.6934644264576919, 0.0011235864437948665, -0.0029702096361207122, 0.0]",0.09999999999999999
"[-0.0010805629712213277, 0.002545213070066339, -0.7722963126160681, 0.00025877906354889726, -0.0018432229522143996, 0.0]",0.10999999999999999
"[-0.0012212483622660334, 0.0028475978321895147, -0.8474482898574912, -0.0014157320530578863, -0.0009425929902226156, 0.0]",0.11999999999999998
"[-0.0013612810440766564, 0.0031608997327106075, -0.9179582415015567, -0.0030728892967313726, -0.00017828589552564933, 0.0]",0.12999999999999998
"[-0.001509442811651223, 0.0034948258888686267, -0.9831082284879841, -0.004800713625366956, 0.0018563923350308328, 0.0]",0.13999999999999999
"[-0.0016809343464906782, 0.0038633674502676087, -1.042445269708717, -0.00725456765093027, 0.004828196985651644, 0.0]",0.15
